17:45:20 INFO  : Launching XSCT server: xsct.bat -n  -interactive C:\Users\Karlsen\Sep-repository-2\Proyecto_2\Proyecto_2\temp_xsdb_launch_script.tcl
17:45:20 INFO  : Registering command handlers for Vitis TCF services
17:45:24 INFO  : XSCT server has started successfully.
17:45:24 INFO  : Successfully done setting XSCT server connection channel  
17:45:24 INFO  : plnx-install-location is set to ''
17:45:24 INFO  : Successfully done query RDI_DATADIR 
17:45:24 INFO  : Successfully done setting workspace for the tool. 
17:45:25 INFO  : Platform repository initialization has completed.
17:48:24 INFO  : Result from executing command 'getProjects': Proyecto_2_HW
17:48:24 INFO  : Result from executing command 'getPlatforms': 
17:50:42 INFO  : Result from executing command 'getProjects': Proyecto_2_HW
17:50:42 INFO  : Result from executing command 'getPlatforms': Proyecto_2_HW|C:/Users/Karlsen/Sep-repository-2/Proyecto_2/Proyecto_2/Proyecto_2_HW/export/Proyecto_2_HW/Proyecto_2_HW.xpfm
